NR_ZONA,NR_SECAO,NR_LOCAL_VOTACAO,NM_UE,endereco_geocode,lat,lng
379,328,1236,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,46,1031,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,518,2348,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,315,1406,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,284,1260,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,542,1104,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,583,1910,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,317,1449,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,86,1198,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,117,1180,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,480,1198,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,70,1171,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,130,1104,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,474,2313,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,96,1074,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,447,2283,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,609,1104,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,470,1295,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,520,2356,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,475,2313,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,11,1015,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,239,1015,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,572,1724,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,591,1104,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,355,1287,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,424,1490,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,514,1589,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,390,1430,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,376,1236,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,468,1546,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,69,1074,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,240,1724,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,41,1074,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,271,1430,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,145,1171,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,126,1139,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,144,1147,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,367,2135,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,471,1163,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,170,1163,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,228,1252,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,418,1465,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,190,1090,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,419,1481,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,105,1104,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,323,1376,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,763,2046,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,67,1392,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,310,1392,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,227,1295,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,213,1325,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,356,1449,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,598,1929,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,313,1465,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,71,1082,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,20,1058,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,234,1210,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,29,1058,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,325,1074,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,43,1074,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,7,1023,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,101,1244,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,268,1333,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,601,1090,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
